"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","47uF","","","","Capacitor_SMD:CP_Elec_6.3x5.4","~"
"C2,C3,C4,C5,C6,C9,C10,C13,C16,C22","10","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7,C8","2","0.01uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11,C12,C19,C20","4","22pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C14","1","10uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C17","1","0.12uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C18","1","1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"CAN1,Can2","2","39301040","","","","CONN_5569-04A_MOL","https://www.molex.com/en-us/products/part-detail-pdf/39301040?display=pdf"
"CN1","1","12V","","","","telemetry-pcb:molex_sl_1x02_horizontal","~"
"CN2","1","UART","","","","Footprints:CONN_SD-43650-001_04_MOL","https://www.molex.com/en-us/products/part-detail-pdf/436500400?display=pdf"
"CN3","1","RS232","","","","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm"," ~"
"CN5","1","THERMO1","","","","telemetry-pcb:ScrewTermPlug1x02","~"
"CN6","1","THERMO2","","","","telemetry-pcb:ScrewTermPlug1x02","~"
"CN8","1","GPS","","","","Footprints:CONN_SD-43650-001_04_MOL","https://www.molex.com/en-us/products/part-detail-pdf/436500400?display=pdf"
"D1","1","2A 50v","","","","Diode_SMD:D_SMA","~"
"F1","1","1A","","","","telemetry-pcb:0154001.DRL","~"
"H1","1","Particle_Boron","","","","telemetry-pcb:Particle_boron",""
"IC1","1","MAX3232CPWR","","","","Package_SO:TSSOP-16_4.4x5mm_P0.65mm",""
"IC2,IC3","2","MAX31855K","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",""
"IC4","1","MCP2515-xSO","","","","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf"
"IC5","1","TCAN332DR","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","http://www.ti.com/lit/ds/symlink/tcan337.pdf"
"J1","1","TX_SEL","","","","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","~"
"J2","1","RX_SEL","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal","~"
"J3","1","CAN_TERM","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"J4","1","6_PIN_MOL_MICROFIT","","","","CONN_SD-43045-001_06_MOL","https://www.molex.com/en-us/products/part-detail-pdf/430450600?display=pdf"
"J5","1","IPL1-102-01-X-D-K","","","","Footprints:SAMTEC_IPL1-102-01-X-D-K",""
"L1","1","RED","","","","LED_SMD:LED_0805_2012Metric","~"
"L2,L4","2","GREEN","","","","LED_SMD:LED_0805_2012Metric","~"
"L3","1","BLUE","","","","LED_SMD:LED_0805_2012Metric","~"
"M1,M2,M3,M4","4","MountingHole","","","","MountingHole:MountingHole_3.2mm_M3","~"
"Q1","1","IF-D92","","","","telemetry-pcb:IF-D92","~"
"R1,R3,R4,R11","4","1000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","680","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5","1","6.8","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R13","2","150","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R8,R10,R14,R15,R16","6","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","120","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12","1","1M","","","","Resistor_SMD:R_0805_2012Metric","~"
"S1","1","LOG","","","","Button_Switch_THT:SW_PUSH_6mm_H13mm","~"
"S2","1","SELECT2","","","","Button_Switch_THT:SW_PUSH_6mm_H13mm","~"
"S3","1","SELECT","","","","Button_Switch_THT:SW_PUSH_6mm_H13mm","~"
"T1","1","TEST_12V","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"T2","1","GPIO_L","","","","telemetry-pcb:Boron_Pins_L","~"
"T3","1","GPIO_R","","","","telemetry-pcb:Boron_Pins_R","~"
"T4","1","TEST_3V3","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"T5","1","TEST_RS232","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"T6","1","TEST_CAN","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"U1","1","BNO055","","","","QFN_BNO055_BOS","BNO055"
"Y1","1","8MHz","","","","Crystal:Crystal_SMD_HC49-SD","~"
"Y2","1","8MHz","","","","Footprints:XTAL_ABS07-32.768KHZ-T","~"
