"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"QFN_BNO055_BOS";1;"BNO055";;;
2;"J4";"CONN_SD-43045-001_06_MOL";1;"6_PIN_MOL_MICROFIT";;;
3;"Can2,CAN1";"CONN_5569-04A_MOL";2;"39301040";;;
4;"T5";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"TEST_RS232";;;
5;"M3,M4,M1,M2";"MountingHole_3.2mm_M3";4;"MountingHole";;;
6;"R7,R8,R10,R14,R15,R16";"R_0805_2012Metric";6;"10K";;;
7;"C11,C12,C20,C19";"C_0805_2012Metric";4;"22pF";;;
8;"CN5";"ScrewTermPlug1x02";1;"THERMO1";;;
9;"CN6";"ScrewTermPlug1x02";1;"THERMO2";;;
10;"L4,L2";"LED_0805_2012Metric";2;"GREEN";;;
11;"L3";"LED_0805_2012Metric";1;"BLUE";;;
12;"R6,R13";"R_0805_2012Metric";2;"150";;;
13;"R5";"R_0805_2012Metric";1;"6.8";;;
14;"T4";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"TEST_3V3";;;
15;"T2";"Boron_Pins_L";1;"GPIO_L";;;
16;"T3";"Boron_Pins_R";1;"GPIO_R";;;
17;"Y1";"Crystal_SMD_HC49-SD";1;"8MHz";;;
18;"H1";"Particle_boron";1;"Particle_Boron";;;
19;"C1";"CP_Elec_6.3x5.4";1;"47uF";;;
20;"CN1";"molex_sl_1x02_horizontal";1;"12V";;;
21;"D1";"D_SMA";1;"2A 50v";;;
22;"F1";"0154001.DRL";1;"1A";;;
23;"J1";"PinHeader_2x02_P2.54mm_Horizontal";1;"TX_SEL";;;
24;"J2";"PinHeader_2x03_P2.54mm_Horizontal";1;"RX_SEL";;;
25;"L1";"LED_0805_2012Metric";1;"RED";;;
26;"Q1";"IF-D92";1;"IF-D92";;;
27;"R2";"R_0805_2012Metric";1;"680";;;
28;"T1";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"TEST_12V";;;
29;"T6";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"TEST_CAN";;;
30;"J3";"PinHeader_1x02_P2.54mm_Horizontal";1;"CAN_TERM";;;
31;"CN3";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"RS232";;;
32;"CN8";"CONN_SD-43650-001_04_MOL";1;"GPS";;;
33;"R3,R4,R11,R1";"R_0805_2012Metric";4;"1000";;;
34;"S2";"SW_PUSH_6mm_H13mm";1;"SELECT2";;;
35;"R12";"R_0805_2012Metric";1;"1M";;;
36;"G***";"sm-logo-small";1;"LOGO";;;
37;"J5";"SAMTEC_IPL1-102-01-X-D-K";1;"IPL1-102-01-X-D-K";;;
38;"S3";"SW_PUSH_6mm_H13mm";1;"SELECT";;;
39;"CN2";"CONN_SD-43650-001_04_MOL";1;"UART";;;
40;"S1";"SW_PUSH_6mm_H13mm";1;"LOG";;;
41;"C2,C3,C4,C5,C6,C9,C10,C13,C16,C22";"C_0805_2012Metric";10;"0.1uF";;;
42;"C7,C8";"C_0805_2012Metric";2;"0.01uF";;;
43;"C14";"C_1206_3216Metric";1;"10uF";;;
44;"IC1";"TSSOP-16_4.4x5mm_P0.65mm";1;"MAX3232CPWR";;;
45;"IC2,IC3";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";2;"MAX31855K";;;
46;"IC4";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515-xSO";;;
47;"IC5";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"TCAN332DR";;;
48;"R9";"R_0805_2012Metric";1;"120";;;
49;"C17";"C_0805_2012Metric";1;"0.12uF";;;
50;"Y2";"XTAL_ABS07-32.768KHZ-T";1;"8MHz";;;
51;"C18";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1uF";;;
